City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,59.11,69,1,7.34,clear sky
1,Chiredzi,ZW,-21.05,31.6667,89.83,27,5,7.4,clear sky
2,Conroe,US,30.3119,-95.456,71.37,92,40,6.06,scattered clouds
3,Carnarvon,AU,-24.8667,113.6333,78.87,61,0,16.11,clear sky
4,Vao,NC,-22.6667,167.4833,72.23,75,12,14.58,few clouds
5,Qaanaaq,GL,77.484,-69.3632,-2.63,59,0,7.43,clear sky
6,Lompoc,US,34.6391,-120.4579,60.48,88,1,4.61,clear sky
7,Bathsheba,BB,13.2167,-59.5167,81.21,74,20,18.41,few clouds
8,Ushuaia,AR,-54.8,-68.3,33.46,86,75,8.05,light snow
9,Tabou,CI,4.423,-7.3528,76.82,87,74,4.14,broken clouds
10,Clyde River,CA,70.4692,-68.5914,16.61,84,91,11.48,overcast clouds
11,Broome,US,42.2506,-75.833,43.36,87,90,0,mist
12,Zhuhai,CN,22.2769,113.5678,76.71,68,20,17.27,few clouds
13,Yatou,CN,37.15,122.3833,61.84,42,11,4.99,few clouds
14,Atuona,PF,-9.8,-139.0333,78.15,77,19,19.64,few clouds
15,Jamestown,US,42.097,-79.2353,44.29,96,90,3,overcast clouds
16,Upernavik,GL,72.7868,-56.1549,20.82,90,100,16.84,light snow
17,Puerto Madero,MX,14.7208,-92.4215,77.2,100,20,0,few clouds
18,East London,ZA,-33.0153,27.9116,60.22,61,43,13.02,scattered clouds
19,Kieta,PG,-6.2167,155.6333,83.43,75,20,5.28,light rain
20,Kibala,TD,9.1104,18.3463,73.33,85,93,2.62,overcast clouds
21,Kamenka,RU,51.3223,42.7678,38.44,78,7,8.79,clear sky
22,Kodiak,US,57.79,-152.4072,42.51,92,99,21.85,moderate rain
23,Nanortalik,GL,60.1432,-45.2371,35.04,66,23,22.21,few clouds
24,Honningsvag,NO,70.9821,25.9704,39.29,54,97,16.46,light rain
25,Umm Lajj,SA,25.0213,37.2685,77.94,59,0,8.21,clear sky
26,Kapaa,US,22.0752,-159.319,80.58,83,90,3,overcast clouds
27,Bethel,US,41.3712,-73.414,50.81,88,1,0,clear sky
28,Bengkulu,ID,-3.8004,102.2655,78.6,83,99,1.92,overcast clouds
29,Mataura,NZ,-46.1927,168.8643,56.03,87,99,3.89,overcast clouds
30,Castro,BR,-24.7911,-50.0119,59.13,96,100,10.56,moderate rain
31,Bandarbeyla,SO,9.4942,50.8122,80.19,66,63,5.75,broken clouds
32,Ramshir,IR,30.8946,49.4092,81.43,15,0,2.98,clear sky
33,Ilulissat,GL,69.2167,-51.1,23.02,74,40,14.97,scattered clouds
34,Itarema,BR,-2.9248,-39.9167,78.89,81,79,11.05,broken clouds
35,Hithadhoo,MV,-0.6,73.0833,83.12,73,88,13.76,overcast clouds
36,Vaini,TO,-21.2,-175.2,75.36,78,20,8.05,few clouds
37,Pudem,RU,58.3044,52.1675,37.99,89,96,5.75,moderate rain
38,Iqaluit,CA,63.7506,-68.5145,29.93,86,90,15.01,overcast clouds
39,San Patricio,US,28.017,-97.5169,80.46,75,3,7.78,clear sky
40,Tuktoyaktuk,CA,69.4541,-133.0374,23.31,95,56,3.65,broken clouds
41,Bredasdorp,ZA,-34.5322,20.0403,51.28,60,80,1.43,broken clouds
42,Binga,ZW,-17.6203,27.3414,83.46,38,83,3.06,broken clouds
43,Bluff,NZ,-46.6,168.3333,51.55,95,100,8.7,overcast clouds
44,Isla Mujeres,MX,21.2311,-86.731,78.85,81,74,10.87,broken clouds
45,Paamiut,GL,61.994,-49.6678,30.72,38,94,4.7,overcast clouds
46,Port Alfred,ZA,-33.5906,26.891,59.18,64,50,13.47,light rain
47,Punta Arenas,CL,-53.15,-70.9167,37.51,87,20,23.02,light rain
48,Kroya,ID,-7.6331,109.2461,86.9,64,54,8.39,broken clouds
49,Helong,CN,42.5397,128.9972,57.16,27,0,3.29,clear sky
50,Saint-Philippe,RE,-21.3585,55.7679,80.15,79,41,13.2,scattered clouds
51,Lagos,NG,6.5833,3.75,72.93,99,98,3.24,light rain
52,Pangkalanbuun,ID,-2.6833,111.6167,94.75,45,35,2.91,light rain
53,Rikitea,PF,-23.1203,-134.9692,75.02,78,100,18.19,overcast clouds
54,Barinas,VE,8.6226,-70.2075,74.8,83,52,4.99,broken clouds
55,Veraval,IN,20.9,70.3667,83.23,57,20,8.05,few clouds
56,Hilo,US,19.7297,-155.09,73.8,83,1,0,clear sky
57,Mar Del Plata,AR,-38.0023,-57.5575,46.87,81,1,1.99,clear sky
58,Albany,US,42.6001,-73.9662,46.8,82,54,1.99,broken clouds
59,Alice Springs,AU,-23.7,133.8833,80.15,24,29,17.27,scattered clouds
60,Kuruman,ZA,-27.4524,23.4325,48.99,50,0,20.76,clear sky
61,Malartic,CA,48.1335,-78.1328,30.74,91,82,4.52,broken clouds
62,Dikson,RU,73.5069,80.5464,8.11,86,100,16.75,overcast clouds
63,Gualeguaychu,AR,-33.0094,-58.5172,55.04,67,0,9.53,clear sky
64,Isangel,VU,-19.55,169.2667,80.71,78,75,9.22,broken clouds
65,Berdigestyakh,RU,62.0989,126.6992,35.15,76,99,13.02,overcast clouds
66,Kurakh,RU,41.5849,47.7831,50.86,53,0,0.87,clear sky
67,Saint George,US,37.1041,-113.5841,63.36,42,1,1.01,clear sky
68,Hermanus,ZA,-34.4187,19.2345,58.89,72,17,6.29,few clouds
69,Avarua,CK,-21.2078,-159.775,71.65,64,75,4.61,haze
70,Real,PH,14.6625,121.6047,81.91,94,100,10.94,moderate rain
71,Neiafu,TO,-18.65,-173.9833,75.88,73,75,8.05,broken clouds
72,Mahebourg,MU,-20.4081,57.7,79.25,73,40,8.05,scattered clouds
73,Saldanha,ZA,-33.0117,17.9442,57.13,71,0,9.42,clear sky
74,Butaritari,KI,3.0707,172.7902,81.25,70,36,4.18,scattered clouds
75,Merrill,US,45.1805,-89.6835,31.95,93,1,0,clear sky
