City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Chiredzi,ZW,89.83,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
3,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
7,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
9,Tabou,CI,76.82,broken clouds,4.423,-7.3528,hotêl doufoulougou
12,Zhuhai,CN,76.71,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
14,Atuona,PF,78.15,few clouds,-9.8,-139.0333,Villa Enata
17,Puerto Madero,MX,77.2,few clouds,14.7208,-92.4215,Hospedaje madero
19,Kieta,PG,83.43,light rain,-6.2167,155.6333,Uruna Bay Retreat
25,Umm Lajj,SA,77.94,clear sky,25.0213,37.2685,Moon light Furnished Units
26,Kapaa,US,80.58,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Bengkulu,ID,78.6,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
31,Bandarbeyla,SO,80.19,broken clouds,9.4942,50.8122,JABIR HOTEL
32,Ramshir,IR,81.43,clear sky,30.8946,49.4092,معصومه مهدیان
34,Itarema,BR,78.89,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
35,Hithadhoo,MV,83.12,overcast clouds,-0.6,73.0833,Scoop Guest House
36,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
39,San Patricio,US,80.46,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
42,Binga,ZW,83.46,broken clouds,-17.6203,27.3414,Lakeview Inn Binga
44,Isla Mujeres,MX,78.85,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
48,Kroya,ID,86.9,broken clouds,-7.6331,109.2461,RUSTANTO Fam
50,Saint-Philippe,RE,80.15,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
53,Rikitea,PF,75.02,overcast clouds,-23.1203,-134.9692,People ThankYou
55,Veraval,IN,83.23,few clouds,20.9,70.3667,Lords Inn Somnath
59,Alice Springs,AU,80.15,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
64,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
70,Real,PH,81.91,moderate rain,14.6625,121.6047,Aranda beach resort
71,Neiafu,TO,75.88,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
72,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
74,Butaritari,KI,81.25,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
79,Byron Bay,AU,86.11,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
85,Noumea,NC,78.78,few clouds,-22.2763,166.4572,Hôtel Le Lagon
88,Busselton,AU,75.04,overcast clouds,-33.65,115.3333,Observatory Guest House
89,Doiwala,IN,76.03,broken clouds,30.1833,78.1167,Deluxe Room Spacious and Stylish
92,Eyl,SO,80.82,few clouds,7.9803,49.8164,Amiin Hotel
94,Pontes E Lacerda,BR,79.65,scattered clouds,-15.2261,-59.3353,Hotel Bressan
97,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
102,Esperance,AU,76.8,few clouds,-33.8667,121.9,Hospitality Esperance
112,Teacapan,MX,78.87,clear sky,22.55,-105.75,Hotel los Mangos
117,Banda Aceh,ID,83.35,overcast clouds,5.5577,95.3222,Sulthan Hotel International
119,Aurad,IN,79.54,broken clouds,18.25,77.4333,krishnakanth boode
121,Port-Gentil,GA,77.7,overcast clouds,-0.7193,8.7815,Fengshui Residence
124,Lorengau,PG,84.49,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
126,Pouebo,NC,76.6,scattered clouds,-20.4,164.5667,RIVÂT LODGE
128,Padang,ID,84.25,broken clouds,-0.9492,100.3543,Mercure Padang
137,Tandur,IN,81.36,broken clouds,17.2333,77.5833,SPOT ON 63149 Swagath Residency
138,Nargana,PA,79.07,scattered clouds,9.4428,-78.5906,Dubbir
140,Sabang,ID,81.84,overcast clouds,5.8933,95.3214,Hotel Citra
142,Gweta,BW,78.44,broken clouds,-20.1833,25.2333,Gweta Lodge
143,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
146,Labuhan,ID,89.89,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
158,Airai,TL,80.17,scattered clouds,-8.9266,125.4092,Juvinal Martin
162,Carutapera,BR,77.59,overcast clouds,-1.195,-46.02,Lidera
167,Floriano,BR,77.36,few clouds,-6.7669,-43.0225,Hotel Maktub
172,Vanimo,PG,84.76,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
176,Acajutla,SV,78.78,overcast clouds,13.5928,-89.8275,asi es
181,Sibolga,ID,81.97,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
184,Meulaboh,ID,84.33,broken clouds,4.1363,96.1285,Kost Pria
