City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bethel,US,2021-10-22 05:01:08,41.3712,-73.414,64.54,90,11,5.66
1,Tiznit,MA,2021-10-22 05:02:10,29.5833,-9.5,62.46,70,0,1.21
2,Hofn,IS,2021-10-22 05:00:36,64.2539,-15.2082,31.93,56,29,6.8
3,Bathsheba,BB,2021-10-22 05:01:07,13.2167,-59.5167,81.37,73,25,22.39
4,Saint George,US,2021-10-22 04:59:45,37.1041,-113.5841,67.35,47,100,2.15
5,Svetlyy,RU,2021-10-22 05:02:56,54.675,20.1347,44.65,70,47,28.88
6,Bluff,NZ,2021-10-22 04:59:51,-46.6,168.3333,54.36,73,0,11.86
7,Lapua,FI,2021-10-22 05:02:57,62.9693,23.0088,39.88,95,100,10.02
8,Nagato,JP,2021-10-22 05:02:57,34.3833,131.2,70.2,61,57,15.7
9,Yellowknife,CA,2021-10-22 05:02:57,62.456,-114.3525,42.57,80,4,17.0
10,Thompson,CA,2021-10-22 05:02:58,55.7435,-97.8558,30.36,86,75,6.91
11,Salym,RU,2021-10-22 05:02:58,60.0625,71.4789,33.94,81,100,10.58
12,Ushuaia,AR,2021-10-22 05:00:26,-54.8,-68.3,33.06,90,40,4.97
13,Kaitangata,NZ,2021-10-22 05:02:58,-46.2817,169.8464,56.07,71,0,10.18
14,Jamestown,US,2021-10-22 04:59:41,42.097,-79.2353,54.72,93,78,8.01
15,Japura,ID,2021-10-22 05:01:17,-0.3167,102.35,88.79,61,98,1.77
16,Grindavik,IS,2021-10-22 05:00:36,63.8424,-22.4338,37.87,81,90,10.36
17,Bandarbeyla,SO,2021-10-22 05:01:19,9.4942,50.8122,79.75,67,41,2.3
18,Lagoa,PT,2021-10-22 05:00:46,39.05,-27.9833,67.46,72,72,7.85
19,Punta Arenas,CL,2021-10-22 05:00:35,-53.15,-70.9167,42.12,72,81,12.44
20,Dwarka,IN,2021-10-22 05:03:00,22.2394,68.9678,80.65,54,0,10.65
21,Cabo San Lucas,MX,2021-10-22 05:01:45,22.8909,-109.9124,79.52,79,0,10.36
22,Maku,IR,2021-10-22 05:03:00,39.2911,44.4521,49.91,44,0,0.69
23,Hilo,US,2021-10-22 05:03:01,19.7297,-155.09,73.27,90,4,3.0
24,Qaanaaq,GL,2021-10-22 05:00:54,77.484,-69.3632,-1.75,75,0,8.48
25,Kodiak,US,2021-10-22 05:00:37,57.79,-152.4072,36.97,71,100,9.26
26,Acarau,BR,2021-10-22 05:00:09,-2.8856,-40.12,78.44,85,47,10.18
27,Port Alfred,ZA,2021-10-22 05:00:40,-33.5906,26.891,67.59,75,100,8.79
28,Kununurra,AU,2021-10-22 05:03:02,-15.7667,128.7333,105.78,21,44,11.5
29,Clyde River,CA,2021-10-22 05:00:55,70.4692,-68.5914,20.23,77,51,7.54
30,Rikitea,PF,2021-10-22 05:00:14,-23.1203,-134.9692,74.01,81,83,23.53
31,Clarence Town,AU,2021-10-22 05:03:02,-32.5833,151.7833,76.6,58,70,8.5
32,Mataura,NZ,2021-10-22 04:59:34,-46.1927,168.8643,66.72,42,0,2.24
33,Byron Bay,AU,2021-10-22 05:03:03,-28.65,153.6167,79.72,79,21,6.58
34,Hermanus,ZA,2021-10-22 04:59:37,-34.4187,19.2345,58.89,70,87,18.54
35,San Quintin,MX,2021-10-22 05:02:47,30.4833,-115.95,63.9,82,4,8.9
36,Laguna,US,2021-10-22 05:02:29,38.421,-121.4238,68.05,87,90,3.44
37,Georgetown,MY,2021-10-22 04:59:51,5.4112,100.3354,87.75,67,40,5.01
38,Shipunovo,RU,2021-10-22 05:03:04,52.1582,82.2173,43.38,65,100,16.06
39,Alofi,NU,2021-10-22 05:03:04,-19.0595,-169.9187,74.97,61,100,18.45
40,Isangel,VU,2021-10-22 05:03:03,-19.55,169.2667,78.78,77,96,6.49
41,Atuona,PF,2021-10-22 04:59:32,-9.8,-139.0333,78.46,75,30,21.41
42,Busselton,AU,2021-10-22 05:00:00,-33.65,115.3333,70.05,51,8,10.85
43,Kruisfontein,ZA,2021-10-22 05:03:05,-34.0033,24.7314,61.88,88,100,7.05
44,Tiksi,RU,2021-10-22 05:00:31,71.6872,128.8694,7.84,93,100,6.62
45,Kendari,ID,2021-10-22 05:03:05,-3.945,122.4989,91.02,51,89,5.86
46,Broken Hill,AU,2021-10-22 05:03:06,-31.95,141.4333,87.76,16,0,6.64
47,East London,ZA,2021-10-22 05:00:33,-33.0153,27.9116,68.76,74,100,3.53
48,Bredasdorp,ZA,2021-10-22 05:00:35,-34.5322,20.0403,56.28,69,86,7.56
49,Fairbanks,US,2021-10-22 05:00:02,64.8378,-147.7164,30.92,85,39,4.05
50,Rauma,FI,2021-10-22 05:03:06,61.1272,21.5113,44.64,96,100,30.44
51,Taoudenni,ML,2021-10-22 05:01:05,22.6783,-3.9836,72.18,37,0,10.96
52,Shenandoah,US,2021-10-22 05:03:07,30.4013,-91.0009,73.89,95,93,2.98
53,Avarua,CK,2021-10-22 05:03:07,-21.2078,-159.775,73.45,64,96,8.05
54,Necochea,AR,2021-10-22 05:01:37,-38.5473,-58.7368,55.04,97,100,10.92
55,Nikolskoye,RU,2021-10-22 04:59:53,59.7035,30.7861,47.88,66,76,18.72
56,Mpulungu,ZM,2021-10-22 05:03:08,-8.7623,31.1141,78.8,52,80,6.67
57,Coihaique,CL,2021-10-22 05:03:08,-45.5752,-72.0662,40.35,81,71,5.88
58,Maceio,BR,2021-10-22 05:02:51,-9.6658,-35.7353,78.24,94,20,1.14
59,Garowe,SO,2021-10-22 05:03:09,8.4054,48.4845,76.59,66,58,5.23
60,Haverhill,US,2021-10-22 05:01:34,42.7762,-71.0773,62.42,87,41,1.01
61,Marsa Matruh,EG,2021-10-22 05:03:09,31.3525,27.2453,66.81,63,0,5.97
62,Mogadishu,SO,2021-10-22 05:01:47,2.0371,45.3438,80.44,77,84,11.95
63,Tuatapere,NZ,2021-10-22 05:01:26,-46.1333,167.6833,59.38,57,11,5.95
64,Severo-Kurilsk,RU,2021-10-22 05:00:36,50.6789,156.125,39.72,65,94,10.63
65,Leningradskiy,RU,2021-10-22 05:02:00,69.3833,178.4167,5.25,86,88,12.55
66,Sandakan,MY,2021-10-22 05:03:10,5.8402,118.1179,86.2,63,100,6.73
67,Beyneu,KZ,2021-10-22 05:03:10,45.3167,55.2,48.34,53,78,15.79
68,Barrow,US,2021-10-22 05:03:11,71.2906,-156.7887,28.42,93,90,6.91
69,Albany,US,2021-10-22 05:03:11,42.6001,-73.9662,60.94,84,60,6.11
70,Klaksvik,FO,2021-10-22 05:03:12,62.2266,-6.589,40.12,60,98,24.74
71,Caravelas,BR,2021-10-22 05:03:12,-17.7125,-39.2481,71.83,93,100,7.63
72,Cascais,PT,2021-10-22 05:01:53,38.6979,-9.4215,61.47,71,0,5.01
73,Arrecife,ES,2021-10-22 05:00:52,28.963,-13.5477,69.87,83,0,6.91
74,Cherskiy,RU,2021-10-22 05:01:34,68.75,161.3,2.46,99,100,4.88
75,Butaritari,KI,2021-10-22 05:00:28,3.0707,172.7902,82.58,75,14,10.36
76,Fort-Shevchenko,KZ,2021-10-22 05:03:13,44.5086,50.263,55.72,82,3,18.1
77,Labuhan,ID,2021-10-22 05:03:13,-6.8844,112.2051,89.76,55,99,8.3
78,Hithadhoo,MV,2021-10-22 05:03:13,-0.6,73.0833,82.26,73,97,8.23
79,Esperance,AU,2021-10-22 05:03:12,-33.8667,121.9,61.45,55,94,10.87
80,Los Llanos De Aridane,ES,2021-10-22 05:03:14,28.6585,-17.9182,69.55,91,90,16.11
81,Kaitong,CN,2021-10-22 05:03:14,44.8135,123.15,52.61,31,0,7.54
82,Kavaratti,IN,2021-10-22 05:01:15,10.5669,72.642,82.0,77,100,6.69
83,Tasiilaq,GL,2021-10-22 05:00:17,65.6145,-37.6368,33.96,70,100,4.88
84,Zhigansk,RU,2021-10-22 05:02:24,66.7697,123.3711,20.14,89,63,8.32
85,San Cristobal,VE,2021-10-22 05:03:15,7.7669,-72.225,65.12,98,66,1.83
86,Aswan,EG,2021-10-22 05:02:56,24.0934,32.907,71.47,40,0,12.41
87,Aleppo,SY,2021-10-22 04:58:50,36.25,37.5,64.65,26,0,3.62
88,Puerto Ayora,EC,2021-10-22 05:00:42,-0.7393,-90.3518,69.4,90,87,7.76
89,Yakeshi,CN,2021-10-22 05:03:16,49.2833,120.7333,43.18,49,2,13.51
90,Sorland,NO,2021-10-22 05:03:16,67.667,12.6934,32.07,67,100,20.33
91,Nantucket,US,2021-10-22 05:03:17,41.2835,-70.0995,66.31,83,1,14.97
92,Cabano,PH,2021-10-22 05:03:17,10.5869,122.7002,84.33,73,90,19.6
93,Airai,TL,2021-10-22 05:00:29,-8.9266,125.4092,81.37,38,76,2.73
94,Nautla,MX,2021-10-22 05:03:17,20.2167,-96.7833,74.39,91,91,7.02
95,Mar Del Plata,AR,2021-10-22 04:59:11,-38.0023,-57.5575,62.1,96,90,3.0
96,Segezha,RU,2021-10-22 05:03:18,63.7415,34.3222,38.53,98,100,16.53
97,Tutoia,BR,2021-10-22 05:03:18,-2.7619,-42.2744,77.54,89,69,8.77
98,Muros,ES,2021-10-22 05:03:18,42.7762,-9.0603,57.83,96,9,5.91
99,Broome,US,2021-10-22 05:03:19,42.2506,-75.833,59.2,80,90,3.0
100,Sinnamary,GF,2021-10-22 05:03:19,5.3833,-52.95,79.02,85,92,9.66
101,Senekal,ZA,2021-10-22 05:03:20,-28.3197,27.6208,59.9,60,100,11.12
102,Khatanga,RU,2021-10-22 05:01:07,71.9667,102.5,7.03,94,99,8.95
103,Srednekolymsk,RU,2021-10-22 05:03:20,67.45,153.6833,-2.36,95,78,5.66
104,Castro,BR,2021-10-22 04:59:31,-24.7911,-50.0119,49.57,94,2,2.19
105,Axim,GH,2021-10-22 05:03:21,4.8699,-2.2405,77.54,85,98,5.55
106,Asau,RO,2021-10-22 05:03:21,46.4333,26.4,58.12,75,100,5.48
107,Vestmanna,FO,2021-10-22 05:03:21,62.1564,-7.1664,38.32,75,75,9.22
108,Hobart,AU,2021-10-22 05:02:41,-42.8794,147.3294,69.26,69,75,3.0
109,Port Elizabeth,ZA,2021-10-22 04:59:54,-33.918,25.5701,64.69,88,0,9.22
110,Provideniya,RU,2021-10-22 05:00:42,64.3833,-173.3,28.51,64,75,13.42
111,Cidreira,BR,2021-10-22 05:03:22,-30.1811,-50.2056,62.28,90,1,8.75
112,Calvinia,ZA,2021-10-22 05:03:22,-31.4707,19.776,47.97,85,92,14.83
113,Kapaa,US,2021-10-22 04:59:39,22.0752,-159.319,80.58,87,3,11.68
114,Ryotsu,JP,2021-10-22 05:03:23,38.0833,138.4333,57.7,55,75,10.2
115,Arraial Do Cabo,BR,2021-10-22 05:00:55,-22.9661,-42.0278,66.4,69,95,5.7
116,Brae,GB,2021-10-22 05:03:11,60.3964,-1.353,40.91,59,97,27.38
117,Naumburg,DE,2021-10-22 05:03:24,51.15,11.8167,42.82,74,33,15.79
118,Sembe,CG,2021-10-22 05:03:24,1.6481,14.5806,68.54,98,97,0.74
119,Santa Cruz,BO,2021-10-22 05:00:10,-17.8,-63.1667,80.04,47,76,5.14
120,Pingyin,CN,2021-10-22 05:03:25,36.2831,116.4453,62.28,34,49,8.01
121,Saldanha,ZA,2021-10-22 05:03:25,-33.0117,17.9442,59.4,82,100,20.36
122,Aquiraz,BR,2021-10-22 05:03:26,-3.9014,-38.3911,83.21,70,100,7.43
123,Bourail,NC,2021-10-22 05:03:26,-21.5667,165.4833,76.84,74,43,7.52
124,Dikson,RU,2021-10-22 05:01:05,73.5069,80.5464,20.91,77,63,9.64
125,Pevek,RU,2021-10-22 04:59:48,69.7008,170.3133,12.7,92,100,10.47
126,Katherine,AU,2021-10-22 05:03:27,-14.4667,132.2667,97.12,38,54,9.22
127,Kenmare,IE,2021-10-22 05:03:27,51.8833,-9.5833,44.85,85,34,3.94
128,Iqaluit,CA,2021-10-22 04:59:55,63.7506,-68.5145,28.13,92,90,10.0
129,Geraldton,AU,2021-10-22 05:03:27,-28.7667,114.6,72.12,53,0,19.57
130,Marathon,US,2021-10-22 05:03:28,44.9,-89.7668,36.93,87,1,3.44
131,Lityn,UA,2021-10-22 05:03:28,49.3251,28.0809,53.92,60,100,8.9
132,Vaini,TO,2021-10-22 04:59:32,-21.2,-175.2,77.16,88,75,12.66
133,Kaeo,NZ,2021-10-22 05:03:29,-35.1,173.7833,61.32,96,100,15.39
134,Bima,ID,2021-10-22 05:03:29,-8.4667,118.7167,96.21,43,13,3.8
135,Belomorsk,RU,2021-10-22 05:03:29,64.5232,34.7668,36.18,97,100,13.51
136,Padang,ID,2021-10-22 05:02:30,-0.9492,100.3543,86.05,68,97,5.95
137,Tuktoyaktuk,CA,2021-10-22 04:59:49,69.4541,-133.0374,26.6,100,20,8.05
138,Callaway,US,2021-10-22 05:03:30,30.153,-85.5699,72.0,94,75,1.01
139,Narsaq,GL,2021-10-22 05:00:39,60.9167,-46.05,30.42,59,100,6.08
140,Goundam,ML,2021-10-22 05:03:30,16.4145,-3.6708,79.43,23,69,7.23
141,Paamiut,GL,2021-10-22 05:03:31,61.994,-49.6678,36.84,67,51,16.33
142,Garoua,CM,2021-10-22 05:01:06,9.3,13.4,73.63,84,82,3.49
143,Tamasopo,MX,2021-10-22 05:03:31,21.9333,-99.4833,63.0,98,76,1.39
144,Luderitz,NA,2021-10-22 05:02:03,-26.6481,15.1594,55.76,84,21,9.64
145,Ancud,CL,2021-10-22 05:01:48,-41.8697,-73.8203,46.42,91,64,6.82
146,New Norfolk,AU,2021-10-22 05:00:45,-42.7826,147.0587,68.92,54,99,3.0
147,Adrar,MR,2021-10-22 05:00:33,20.5022,-10.0711,68.58,27,14,9.1
148,Ribeira Brava,PT,2021-10-22 05:03:32,32.65,-17.0667,69.71,66,31,4.81
149,Saint-Pierre,RE,2021-10-22 05:01:04,-21.3393,55.4781,83.57,57,0,6.91
150,Nyurba,RU,2021-10-22 05:03:11,63.2842,118.3319,36.88,90,96,5.55
151,Christchurch,NZ,2021-10-22 05:03:32,-43.5333,172.6333,56.95,61,96,7.0
152,Tomatlan,MX,2021-10-22 05:03:33,19.9333,-105.25,76.28,96,19,2.84
153,Sydney,AU,2021-10-22 05:00:09,-33.8679,151.2073,80.74,67,20,1.99
154,Margate,GB,2021-10-22 05:03:33,51.3813,1.3862,45.7,86,3,20.49
155,Zharkovskiy,RU,2021-10-22 05:03:34,55.849,32.2697,48.18,77,61,15.28
156,Hasaki,JP,2021-10-22 05:03:34,35.7333,140.8333,55.8,83,100,18.79
157,Khani,GE,2021-10-22 05:03:34,41.9563,42.9566,49.57,53,0,6.42
158,Raudeberg,NO,2021-10-22 04:59:54,61.9875,5.1352,40.87,87,100,4.0
159,Hami,CN,2021-10-22 05:00:39,42.8,93.45,65.01,15,0,5.53
160,Sabratah,LY,2021-10-22 05:03:35,32.7933,12.4885,71.42,56,30,7.7
161,Burnie,AU,2021-10-22 04:59:55,-41.0667,145.9167,58.95,93,100,9.42
162,Iberia,US,2021-10-22 05:03:36,29.9502,-91.7507,73.38,100,20,4.61
163,Sioux Lookout,CA,2021-10-22 05:03:36,50.1001,-91.917,34.18,84,98,4.03
164,Nouakchott,MR,2021-10-22 05:00:26,18.0858,-15.9785,71.53,32,40,10.11
165,Huarmey,PE,2021-10-22 05:03:37,-10.0681,-78.1522,63.43,87,89,8.25
166,Sisimiut,GL,2021-10-22 05:03:37,66.9395,-53.6735,24.84,84,18,11.1
167,Atambua,ID,2021-10-22 05:03:37,-9.1061,124.8925,87.58,56,72,5.84
168,Muzhi,RU,2021-10-22 05:03:37,65.3667,64.6667,30.63,77,100,12.39
169,Bilma,NE,2021-10-22 05:01:19,18.6853,12.9164,77.0,21,18,10.2
170,Forio,IT,2021-10-22 05:03:38,40.7342,13.8646,68.29,78,100,15.97
171,Yabrud,SY,2021-10-22 05:03:38,33.9674,36.6574,53.53,57,23,0.72
172,Ribeira Grande,PT,2021-10-22 05:00:47,38.5167,-28.7,68.56,74,38,12.77
173,Kamenice,CZ,2021-10-22 05:03:39,49.9015,14.5824,44.01,82,50,10.42
174,Cape Town,ZA,2021-10-22 05:03:00,-33.9258,18.4232,61.09,74,95,4.0
175,Simao Dias,BR,2021-10-22 05:03:39,-10.7383,-37.8111,73.26,93,82,3.85
176,Kabinda,CD,2021-10-22 05:03:40,-6.1333,24.4833,66.88,97,100,4.38
177,Batagay,RU,2021-10-22 05:03:40,67.6333,134.6333,16.93,92,100,3.38
178,Palmer,US,2021-10-22 05:03:40,42.1584,-72.3287,61.41,84,90,3.44
179,Constitucion,CL,2021-10-22 05:00:48,-35.3333,-72.4167,50.99,81,82,8.16
180,Lavrentiya,RU,2021-10-22 05:03:41,65.5833,-171.0,24.4,89,100,8.46
181,Wuwei,CN,2021-10-22 05:03:41,37.9281,102.6414,59.0,32,6,5.88
182,Kasempa,ZM,2021-10-22 05:03:41,-13.4584,25.8338,68.95,57,25,9.04
183,Manokwari,ID,2021-10-22 05:03:42,-0.8667,134.0833,78.85,84,100,9.62
184,Norman Wells,CA,2021-10-22 05:03:42,65.282,-126.8329,32.07,84,47,7.49
185,Berlevag,NO,2021-10-22 05:02:31,70.8578,29.0864,33.96,62,100,23.13
186,Taganak,PH,2021-10-22 05:03:42,6.0833,118.3,82.81,77,95,11.3
187,Kirakira,SB,2021-10-22 05:03:43,-10.4544,161.9205,83.37,70,100,4.7
188,Ballina,AU,2021-10-22 05:03:43,-28.8667,153.5667,79.79,80,34,5.5
189,Freeport,US,2021-10-22 05:03:43,40.6576,-73.5832,66.96,76,1,4.0
190,Talnakh,RU,2021-10-22 05:03:44,69.4865,88.3972,17.76,97,95,1.45
191,Ardmore,US,2021-10-22 05:03:44,34.1743,-97.1436,63.01,66,40,1.99
192,Bac Lieu,VN,2021-10-22 05:03:44,9.285,105.7244,86.27,67,100,9.06
193,Carnarvon,AU,2021-10-22 05:03:45,-24.8667,113.6333,76.6,45,2,19.53
194,Torbay,CA,2021-10-22 05:01:36,47.6666,-52.7314,44.58,80,5,5.01
195,Lyubytino,RU,2021-10-22 05:03:45,58.8122,33.3922,45.21,72,54,16.69
196,Ixtapa,MX,2021-10-22 05:00:30,20.7,-105.2,77.72,93,82,1.48
197,Ramhormoz,IR,2021-10-22 05:03:46,31.28,49.6035,77.13,26,0,2.13
198,Baker City,US,2021-10-22 04:59:55,44.7749,-117.8344,64.11,36,75,12.66
199,Salalah,OM,2021-10-22 05:00:52,17.0151,54.0924,77.43,66,43,2.44
